"Station_ID","Location","Latitude","Longitude","Elevation","OCT2023","NOV2023","DEC2023","JAN2024","FEB2024","MAR2024","APR2024","MAY2024","JUN2024","JUL2024","AUG2024","SEP2024","WY to Date","Pct Avg to Date","Pct Tot WY"
"ASHO3","ASHLAND",42.21,-122.71,1746,0.92,1.68,2.36,3.63,1.3,2.15,1.03,1.18,0.08,0,0.34,0.2,14.87,74,74
"GPSO3","GRANTS PASS KAJO",42.43,-123.32,930,0.89,4.96,4.11,7.03,4.01,6.25,0.88,0.88,0.04,0,1,0.01,30.06,97,97
"LEMO3","LEMOLO LAKE",43.32,-122.19,4150,3.35,5.46,15.25,23.55,7.38,6.61,4.13,3.52,1.99,0.46,1.29,0.53,73.52,111,111
"MFR","MEDFORD",42.38,-122.88,1300,1.12,1.81,2.22,4.65,1.61,2.45,1.14,1.14,0.26,0,0.86,0.06,17.32,94,94
"OTH","NORTH BEND",43.41,-124.24,6,3.8,6.29,13.59,14.41,8.26,8.51,2.49,3.1,1.34,0.06,0.45,1.29,63.59,98,98
"PRSO3","PROSPECT 2SW",42.73,-122.52,2482,2.08,3.9,5.94,11.77,4.46,6.91,2.17,2.52,0.84,0.1,0.94,0.48,42.11,100,100
"RIDO3","RIDDLE",42.95,-123.36,680,1.84,3.36,4.95,7.83,4.34,5.04,1.33,1.59,0.55,0.07,1.27,0.65,32.82,105,105
"TKFO3","TOKETEE FALLS",43.27,-122.45,2060,2.9,4.56,8.15,11.08,5.09,5.46,3.06,2.55,1.44,0.11,1.65,0.82,46.87,97,97
"WINO3","WINCHESTER DAM",43.28,-123.35,460,2.35,5.28,5.69,8.36,3.45,6.13,1.31,1.86,0.42,0.03,1.42,0.53,36.83,101,101
"EKA","EUREKA",40.81,-124.16,20,2.09,3.84,7.78,11.85,8.85,7.47,1.18,3,0.79,0.05,1.47,0.07,48.44,120,120
"FRBC1","FT BRAGG 5N",39.51,-123.76,120,1.88,2.91,7,13.77,11.23,9.12,1.99,1.99,0.31,0.04,0.7,0.17,51.11,118,118
"GASC1","GASQUET RS",41.85,-123.97,384,4.5,7.85,17.14,27.7,16.95,17.68,3.19,4.15,1.8,0,2.68,0.56,104.2,115,115
"CRLO3","CRATER LAKE NP",42.9,-122.13,6475,5.7,5.94,15.59,18.89,9.47,9.17,3.69,3.8,1.95,0,0.26,1.54,76,115,115
"HOWO3","HOWARD PRAIRIE",42.23,-122.38,4567,1.28,2.17,4.69,6.31,3.44,4.02,1.89,1.79,0.09,0.22,0.52,0.36,26.78,85,85
"KENO3","KENO",42.13,-121.93,4116,0.32,0.65,1.32,5.8,2.06,3.04,0.84,0.84,0.02,0,0.77,0.14,15.8,80,80
"LMT","KLAMATH FALLS",42.16,-121.74,4090,0.2,0.66,1.89,1.72,1.84,1.05,1.36,0.72,0.1,0,1.04,0.28,10.86,73,73
"FOJC1","FORT JONES",41.6,-122.85,2725,0.46,1.89,3.06,4.25,2.08,3.26,1.07,0.56,0,0.01,4.2,1.04,21.88,103,103
"HPYC1","HAPPY CAMP",41.8,-123.38,1120,1.34,3.86,7.71,13.53,7.52,9.57,0.66,1.45,0.23,0.1,1.56,0.07,47.6,93,93
"ORLC1","ORLEANS",41.31,-123.53,400,2.28,5.79,8.92,15.63,8.67,12.12,1.55,1.73,0.5,0,1.5,0.14,58.83,110,110
"TRHC1","TRINITY RIVER HATCHERY",40.73,-122.79,1860,0.51,1.98,6.02,9.42,9.25,5.82,1.11,0.68,0.03,0,0.81,0.35,35.98,108,108
"TULC1","TULE LAKE",41.96,-121.47,4035,0.39,0.88,1.39,1.77,1.47,0.54,1.01,0.32,0.24,0,0.63,0.16,8.8,76,76
"WEAC1","WEAVERVILLE",40.73,-122.94,2040,0.65,2.33,7.97,11.74,6.54,6.62,1.13,0.58,0.09,0,1.45,0.15,39.25,101,101
"YKAC1","YREKA",41.37,-122.64,2625,0.33,0.8,2.38,4.5,2.14,2.8,0.25,0.72,0.01,0.04,0.3,0.21,14.48,73,73
"ANGC1","ANGWIN PACIFIC UNION COLLEGE",38.57,-122.44,1715,0.66,2.85,7.18,7.94,11.34,5.54,1.52,1,0,0,0.19,0,38.22,93,93
"FFDC1","FAIRFIELD",38.27,-122.07,40,0.51,0.02,2.16,4.36,6.05,3.1,0.46,0.56,0,0,0,0,17.22,69,69
"KENC1","KENTFIELD",37.96,-122.54,145,0.76,3.71,10.1,9.87,10.64,6.62,1.36,1.43,0,0,0.01,0,44.5,93,93
"MHMC1","MOUNT HAMILTON",37.35,-121.63,4198,0.42,1.16,5.49,7.46,7.01,7.64,3.69,0.75,0,0,0,0.13,33.75,129,129
"NSHC1","NAPA STATE HOSPITAL",38.28,-122.26,35,0.34,1.29,5.47,5.13,6.07,3.28,0.61,0.72,0,0,0.03,0,22.94,83,83
"PORC1","POTTER VALLEY PH",39.37,-123.13,1440,1.52,2.63,8.76,9.92,10.71,8.86,2.17,1.31,0,0,0.74,0,46.62,100,100
"SFOC1","DOWNTOWN SAN FRANCISCO",37.77,-122.43,150,0.23,1.77,4.65,6.78,6.27,4,1.16,1.03,0,0.01,0.04,0,25.94,110,110
"SJC","SAN JOSE INTL AIRPORT",37.36,-121.92,51,0.11,0.56,2.76,4.48,4.54,3.13,0.81,0.67,0,0,0,0,17.06,114,114
"UKI","UKIAH ASOS",39.13,-123.2,626,0.96,2.52,7.86,9.05,8.92,6.76,1.12,1.15,0,0,0.03,0,38.37,103,103
"AAT","ALTURAS",41.49,-120.56,4366,0.6,1.39,0.77,1.64,2.15,1.52,1.58,0.32,0.04,0,0.47,0.42,10.9,77,77
"BODC1","BOWMAN DAM",39.45,-120.66,5385,1.78,5.68,7.44,12.65,15.14,12.44,5.48,2.81,0,0,1.02,0.1,64.54,97,97
"BUCC1","BUCKS CREEK",39.92,-121.35,1850,0.75,3.98,6.77,12.37,15.56,14.33,1.5,4.16,0,0,0.86,0,60.28,87,87
"CANC1","CANYON DAM",40.17,-121.09,4560,0.16,2.91,3.58,5.31,10.65,8.52,2.34,1.99,0,0,0.42,0,35.88,95,95
"CHUC1","CHICO UNIVERSITY FARM",39.69,-121.82,185,0.77,0.71,3.66,4.45,6.31,2.56,2.68,1.33,0,0,0.05,0,22.52,84,84
"CLGC1","COLGATE PH",39.33,-121.19,595,1.35,1.17,4.66,8.65,9.13,4.97,1.38,1.9,0,0,0.54,0,33.75,80,80
"DAVC1","DAVIS EXPERIMENTAL FARM",38.53,-121.78,60,0.88,0.72,3.45,3.04,6.32,1.66,0.92,0.4,0,0,0.02,0,17.41,89,89
"DESC1","DE SABLA",39.87,-121.61,2710,2.94,4.35,9.58,17.84,15.04,10.56,2.77,4.36,0,0,0.88,0,68.32,101,101
"DUNC1","DUNSMUIR",41.18,-122.28,2170,0.91,3.52,11.55,17.02,19.58,12.31,2.38,2.01,0,0,1.53,0.05,70.86,109,109
